timestamp,task,category,config,rep,pass,cost_usd,duration_s,num_turns,asked_question
2026-06-10T22:06:37Z,bugfix-cache-ttl,bugfix,fable,1,1,1.2177969999999998,61,9,0
2026-06-10T22:08:04Z,bugfix-cache-ttl,bugfix,fable,2,1,1.309969,87,10,0
2026-06-10T22:09:16Z,bugfix-cache-ttl,bugfix,fable,3,1,1.2123320000000002,70,9,0
2026-06-10T22:10:23Z,bugfix-csv-quoting,bugfix,fable,1,1,1.181713,66,9,0
2026-06-11T03:34:55Z,bugfix-csv-quoting,bugfix,fable,2,1,1.776153,66,9,0
2026-06-11T03:36:06Z,bugfix-csv-quoting,bugfix,fable,3,1,1.208643,70,9,0
2026-06-11T03:37:39Z,bugfix-date-rollover,bugfix,fable,1,1,1.328705,93,10,0
2026-06-11T03:39:14Z,bugfix-date-rollover,bugfix,fable,2,1,1.3630100000000003,94,10,0
2026-06-11T03:40:44Z,bugfix-date-rollover,bugfix,fable,3,1,1.3563450000000001,90,11,0
2026-06-11T03:41:58Z,bugfix-rate-limiter,bugfix,fable,1,1,1.1780399999999998,74,9,0
2026-06-11T03:43:27Z,bugfix-rate-limiter,bugfix,fable,2,1,1.295455,89,11,0
2026-06-11T03:44:45Z,bugfix-rate-limiter,bugfix,fable,3,1,1.215558,78,9,0
2026-06-11T03:46:21Z,feature-config-merge,feature,fable,1,1,1.4146370000000001,96,11,0
2026-06-11T03:47:35Z,feature-config-merge,feature,fable,2,1,1.2243020000000002,74,10,0
2026-06-11T03:49:01Z,feature-config-merge,feature,fable,3,1,1.3489240000000002,85,10,0
2026-06-11T03:50:39Z,feature-pagination,feature,fable,1,1,1.567399,98,10,0
2026-06-11T03:52:22Z,feature-pagination,feature,fable,2,1,1.453585,103,11,0
2026-06-11T03:54:04Z,feature-pagination,feature,fable,3,1,1.4830250000000003,102,12,0
2026-06-11T03:56:01Z,feature-retry-backoff,feature,fable,1,1,1.42207,117,11,0
2026-06-11T03:57:25Z,feature-retry-backoff,feature,fable,2,1,1.2768030000000001,84,10,0
2026-06-11T03:58:52Z,feature-retry-backoff,feature,fable,3,1,1.3435829999999997,86,10,0
2026-06-11T04:01:02Z,feature-slugify,feature,fable,1,1,1.5869900000000001,129,11,0
2026-06-11T04:03:00Z,feature-slugify,feature,fable,2,1,1.424935,118,10,0
2026-06-11T04:05:14Z,feature-slugify,feature,fable,3,1,1.6754200000000001,134,11,0
2026-06-11T04:06:52Z,longhorizon-migration,longhorizon,fable,1,1,1.549151,98,17,0
2026-06-11T04:08:54Z,longhorizon-migration,longhorizon,fable,2,1,1.3827999999999996,122,15,0
2026-06-11T04:11:12Z,longhorizon-migration,longhorizon,fable,3,1,1.823368,137,19,0
2026-06-11T04:13:41Z,longhorizon-pipeline,longhorizon,fable,1,1,2.18744,149,19,0
2026-06-11T04:16:32Z,longhorizon-pipeline,longhorizon,fable,2,1,2.165011,171,21,0
2026-06-11T04:18:59Z,longhorizon-pipeline,longhorizon,fable,3,1,2.263791,146,19,0
2026-06-11T04:19:43Z,refactor-dedupe-handlers,refactor,fable,1,1,0.8475059999999999,44,5,0
2026-06-11T04:21:14Z,refactor-dedupe-handlers,refactor,fable,2,1,0.850438,89,5,0
2026-06-11T04:21:53Z,refactor-dedupe-handlers,refactor,fable,3,1,0.8317410000000001,39,5,0
2026-06-11T08:28:15Z,refactor-extract-storage,refactor,fable,1,1,0.998576,61,7,0
2026-06-11T08:29:05Z,refactor-extract-storage,refactor,fable,2,1,0.93616,49,7,0
2026-06-11T08:30:01Z,refactor-extract-storage,refactor,fable,3,1,0.98173,56,7,0
2026-06-11T08:31:11Z,bugfix-cache-ttl,bugfix,bare,1,1,0.8476890000000001,70,10,0
2026-06-11T08:32:42Z,bugfix-cache-ttl,bugfix,bare,2,1,0.723191,91,11,0
2026-06-11T08:33:48Z,bugfix-cache-ttl,bugfix,bare,3,1,0.6715779999999999,66,11,0
2026-06-11T08:34:31Z,bugfix-csv-quoting,bugfix,bare,1,1,0.485055,43,7,0
2026-06-11T08:35:10Z,bugfix-csv-quoting,bugfix,bare,2,1,0.45177849999999997,39,6,0
2026-06-11T08:35:49Z,bugfix-csv-quoting,bugfix,bare,3,1,0.41001200000000004,39,6,0
2026-06-11T08:37:05Z,bugfix-date-rollover,bugfix,bare,1,1,0.724342,76,11,0
2026-06-11T08:38:33Z,bugfix-date-rollover,bugfix,bare,2,1,0.7274685000000001,87,11,0
2026-06-11T08:39:57Z,bugfix-date-rollover,bugfix,bare,3,1,0.651237,84,10,0
2026-06-11T08:41:10Z,bugfix-rate-limiter,bugfix,bare,1,1,0.606688,73,11,0
2026-06-11T08:42:27Z,bugfix-rate-limiter,bugfix,bare,2,1,0.6914789999999998,76,11,0
2026-06-11T08:43:30Z,bugfix-rate-limiter,bugfix,bare,3,1,0.577715,63,10,0
2026-06-11T08:44:29Z,feature-config-merge,feature,bare,1,1,0.6698330000000001,59,11,0
2026-06-11T08:45:35Z,feature-config-merge,feature,bare,2,1,0.6694925,66,10,0
2026-06-11T08:46:49Z,feature-config-merge,feature,bare,3,1,0.5967,73,9,0
2026-06-11T08:48:31Z,feature-pagination,feature,bare,1,1,0.7200515,102,10,0
2026-06-11T08:51:00Z,feature-pagination,feature,bare,2,1,0.8985124999999999,149,13,0
2026-06-11T08:53:45Z,feature-pagination,feature,bare,3,1,1.056472,165,15,0
2026-06-11T08:54:59Z,feature-retry-backoff,feature,bare,1,1,0.6625945,73,10,0
2026-06-11T08:56:03Z,feature-retry-backoff,feature,bare,2,1,0.636546,64,10,0
2026-06-11T08:57:15Z,feature-retry-backoff,feature,bare,3,1,0.7382225000000001,72,13,0
2026-06-11T08:59:19Z,feature-slugify,feature,bare,1,1,1.060172,124,13,0
2026-06-11T09:00:46Z,feature-slugify,feature,bare,2,1,0.6063225,87,6,0
2026-06-11T09:02:38Z,feature-slugify,feature,bare,3,1,0.7863650000000001,112,10,0
2026-06-11T09:03:51Z,longhorizon-migration,longhorizon,bare,1,1,0.6779525000000001,73,15,0
2026-06-11T09:05:06Z,longhorizon-migration,longhorizon,bare,2,1,0.7175765,75,16,0
2026-06-11T09:06:03Z,longhorizon-migration,longhorizon,bare,3,1,0.5508935,57,14,0
2026-06-11T09:07:55Z,longhorizon-pipeline,longhorizon,bare,1,1,0.6201315,112,8,0
2026-06-11T09:09:39Z,longhorizon-pipeline,longhorizon,bare,2,1,0.898511,104,12,0
2026-06-11T09:11:06Z,longhorizon-pipeline,longhorizon,bare,3,1,0.7659695,87,12,0
2026-06-11T09:11:51Z,refactor-dedupe-handlers,refactor,bare,1,1,0.5114540000000001,45,7,0
2026-06-11T09:12:20Z,refactor-dedupe-handlers,refactor,bare,2,1,0.399363,29,4,0
2026-06-11T09:13:04Z,refactor-dedupe-handlers,refactor,bare,3,1,0.5135445,44,7,0
2026-06-11T09:14:05Z,refactor-extract-storage,refactor,bare,1,1,0.597072,61,11,0
2026-06-11T09:14:57Z,refactor-extract-storage,refactor,bare,2,1,0.50086,52,10,0
2026-06-11T09:15:58Z,refactor-extract-storage,refactor,bare,3,1,0.5088725000000001,61,8,0
2026-06-11T09:17:19Z,bugfix-cache-ttl,bugfix,plugin,1,1,0.8449515000000001,58,10,0
2026-06-11T09:18:35Z,bugfix-cache-ttl,bugfix,plugin,2,1,0.6552775,75,10,0
2026-06-11T09:19:42Z,bugfix-cache-ttl,bugfix,plugin,3,1,0.6449324999999999,67,10,0
2026-06-11T09:20:15Z,bugfix-csv-quoting,bugfix,plugin,1,1,0.4209795,33,6,0
2026-06-11T09:20:46Z,bugfix-csv-quoting,bugfix,plugin,2,1,0.42111,31,6,0
2026-06-11T09:21:16Z,bugfix-csv-quoting,bugfix,plugin,3,1,0.412475,29,5,0
2026-06-11T09:21:53Z,bugfix-date-rollover,bugfix,plugin,1,1,0.437952,37,6,0
2026-06-11T09:22:27Z,bugfix-date-rollover,bugfix,plugin,2,1,0.423849,34,5,0
2026-06-11T09:23:36Z,bugfix-date-rollover,bugfix,plugin,3,1,0.6459489999999999,69,9,0
2026-06-11T09:24:36Z,bugfix-rate-limiter,bugfix,plugin,1,1,0.607606,59,9,0
2026-06-11T09:25:23Z,bugfix-rate-limiter,bugfix,plugin,2,1,0.5165585,47,8,0
2026-06-11T09:26:28Z,bugfix-rate-limiter,bugfix,plugin,3,1,0.608643,64,10,0
2026-06-11T09:27:18Z,feature-config-merge,feature,plugin,1,1,0.5332975,50,7,0
2026-06-11T09:28:11Z,feature-config-merge,feature,plugin,2,1,0.544617,53,7,0
2026-06-11T09:29:12Z,feature-config-merge,feature,plugin,3,1,0.5543885000000001,60,7,0
2026-06-11T09:30:27Z,feature-pagination,feature,plugin,1,1,0.58234,75,9,0
2026-06-11T09:31:40Z,feature-pagination,feature,plugin,2,1,0.5932149999999999,73,8,0
2026-06-11T09:33:12Z,feature-pagination,feature,plugin,3,1,0.7089374999999999,92,9,0
2026-06-11T09:34:07Z,feature-retry-backoff,feature,plugin,1,1,0.5985300000000001,55,9,0
2026-06-11T09:35:03Z,feature-retry-backoff,feature,plugin,2,1,0.5620505,55,8,0
2026-06-11T09:35:44Z,feature-retry-backoff,feature,plugin,3,1,0.5126895,41,6,0
2026-06-11T09:37:30Z,feature-slugify,feature,plugin,1,1,0.6888645,106,6,0
2026-06-11T09:39:06Z,feature-slugify,feature,plugin,2,1,0.6989785000000001,96,8,0
2026-06-11T09:40:22Z,feature-slugify,feature,plugin,3,1,0.6187535,75,7,0
2026-06-11T09:41:03Z,longhorizon-migration,longhorizon,plugin,1,1,0.49189750000000004,40,13,0
2026-06-11T09:41:46Z,longhorizon-migration,longhorizon,plugin,2,1,0.509991,43,8,0
2026-06-11T09:42:37Z,longhorizon-migration,longhorizon,plugin,3,1,0.5318430000000001,51,13,0
2026-06-11T09:43:43Z,longhorizon-pipeline,longhorizon,plugin,1,1,0.5475334999999999,66,6,0
2026-06-11T09:45:09Z,longhorizon-pipeline,longhorizon,plugin,2,1,0.8955755,85,11,0
2026-06-11T09:46:12Z,longhorizon-pipeline,longhorizon,plugin,3,1,0.614144,63,7,0
2026-06-11T09:46:49Z,refactor-dedupe-handlers,refactor,plugin,1,1,0.4785114999999999,37,6,0
2026-06-11T09:47:15Z,refactor-dedupe-handlers,refactor,plugin,2,1,0.4085255,25,5,0
2026-06-11T09:48:18Z,refactor-dedupe-handlers,refactor,plugin,3,1,0.5301655,63,7,0
2026-06-11T09:49:18Z,refactor-extract-storage,refactor,plugin,1,1,0.5602219999999999,60,10,0
2026-06-11T09:50:07Z,refactor-extract-storage,refactor,plugin,2,1,0.5429645000000001,49,9,0
2026-06-11T09:50:57Z,refactor-extract-storage,refactor,plugin,3,1,0.5226989999999999,50,9,0
2026-06-11T10:59:16Z,hard-discount-engine,hard,fable,1,1,3.3805990000000006,278,12,0
2026-06-11T11:04:34Z,hard-discount-engine,hard,fable,2,1,3.065022,317,11,0
2026-06-11T11:09:17Z,hard-discount-engine,hard,fable,3,1,2.912611,283,13,0
2026-06-11T11:12:53Z,hard-mini-interpreter,hard,fable,1,1,2.3277120000000004,214,12,0
2026-06-11T11:16:31Z,hard-mini-interpreter,hard,fable,2,1,2.4684520000000005,218,16,0
2026-06-11T11:19:56Z,hard-mini-interpreter,hard,fable,3,1,2.174888,204,11,0
2026-06-11T11:20:44Z,hard-regression-minefield,hard,fable,1,1,0.9486479999999999,48,10,0
2026-06-11T11:21:41Z,hard-regression-minefield,hard,fable,2,1,0.955563,56,10,0
2026-06-11T11:22:28Z,hard-regression-minefield,hard,fable,3,1,0.9525150000000001,46,10,0
2026-06-11T11:27:52Z,hard-discount-engine,hard,bare,1,1,1.9440034999999998,323,13,0
2026-06-11T11:32:44Z,hard-discount-engine,hard,bare,2,1,1.5468455,292,14,0
2026-06-11T11:37:53Z,hard-discount-engine,hard,bare,3,1,1.5590765,309,12,0
2026-06-11T11:41:11Z,hard-mini-interpreter,hard,bare,1,1,1.2264705,198,14,0
2026-06-11T11:44:02Z,hard-mini-interpreter,hard,bare,2,1,1.0708615000000001,170,11,0
2026-06-11T11:47:23Z,hard-mini-interpreter,hard,bare,3,1,1.3022940000000003,201,17,0
2026-06-11T11:48:09Z,hard-regression-minefield,hard,bare,1,1,0.5184055000000001,45,11,0
2026-06-11T11:48:54Z,hard-regression-minefield,hard,bare,2,1,0.49531549999999996,45,10,0
2026-06-11T11:49:38Z,hard-regression-minefield,hard,bare,3,1,0.464145,44,10,0
2026-06-11T13:17:13Z,hard-discount-engine,hard,plugin,1,1,1.606044,347,10,0
2026-06-11T13:21:50Z,hard-discount-engine,hard,plugin,2,1,1.332713,276,10,0
2026-06-11T13:26:24Z,hard-discount-engine,hard,plugin,3,1,1.343304,274,9,0
2026-06-11T13:29:27Z,hard-mini-interpreter,hard,plugin,1,1,1.0727840000000002,183,11,0
2026-06-11T13:32:05Z,hard-mini-interpreter,hard,plugin,2,1,0.998772,157,11,0
2026-06-11T13:35:41Z,hard-mini-interpreter,hard,plugin,3,1,1.166854,215,11,0
2026-06-11T13:36:50Z,hard-regression-minefield,hard,plugin,1,1,0.6082855,68,12,0
2026-06-11T13:37:33Z,hard-regression-minefield,hard,plugin,2,1,0.47749699999999995,43,10,0
2026-06-11T13:38:42Z,hard-regression-minefield,hard,plugin,3,1,0.6186840000000001,69,12,0
2026-06-11T13:41:52Z,continuity-drift-investigation,continuity,fable,1,1,3.19358,165,29,0
2026-06-11T13:45:10Z,continuity-drift-investigation,continuity,fable,2,1,2.89521,198,31,0
2026-06-11T13:48:20Z,continuity-drift-investigation,continuity,fable,3,1,2.88852,190,32,0
2026-06-11T13:54:10Z,continuity-staged-build,continuity,fable,1,1,4.42541,349,30,0
2026-06-11T14:01:16Z,continuity-staged-build,continuity,fable,2,1,5.18067,425,37,0
2026-06-11T14:06:48Z,continuity-staged-build,continuity,fable,3,1,4.22657,332,28,0
2026-06-11T14:09:45Z,continuity-drift-investigation,continuity,bare,1,1,1.79079,176,32,0
2026-06-11T14:12:29Z,continuity-drift-investigation,continuity,bare,2,1,1.32778,164,32,0
2026-06-11T14:15:57Z,continuity-drift-investigation,continuity,bare,3,1,2.13923,207,44,0
2026-06-11T14:21:11Z,continuity-staged-build,continuity,bare,1,1,2.27128,314,27,0
2026-06-11T14:26:21Z,continuity-staged-build,continuity,bare,2,1,2.03473,310,25,0
2026-06-11T14:31:01Z,continuity-staged-build,continuity,bare,3,1,1.93603,280,24,0
2026-06-11T14:33:34Z,continuity-drift-investigation,continuity,plugin,1,1,1.49497,153,31,0
2026-06-11T14:35:23Z,continuity-drift-investigation,continuity,plugin,2,1,1.26168,109,28,0
2026-06-11T14:37:23Z,continuity-drift-investigation,continuity,plugin,3,1,1.19067,120,27,0
2026-06-11T14:42:29Z,continuity-staged-build,continuity,plugin,1,1,2.07501,306,24,0
2026-06-11T14:46:11Z,continuity-staged-build,continuity,plugin,2,1,1.61416,222,22,0
2026-06-11T14:50:36Z,continuity-staged-build,continuity,plugin,3,1,1.89448,265,19,0
